metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source.link.to.discussion
absolute;yes;Capacity|Electricity|Hydro;GW;NA;NA;Sub-Saharan Africa;2030;NA;12.78;85.232;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Hydro;GW;NA;NA;Western Europe;2030;NA;97.344;397.0008;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;World;2030;269.7507;320.32955;463.58865;507.1;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;China;2030;NA;25.992;112.63;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Eastern Europe;2030;NA;5.8368;17.64;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Former Soviet Union;2030;NA;20.424;67.858;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Latin America and the Caribbean;2030;NA;2.4336;9.009;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Middle East and North Africa;2030;NA;2.9952;16.254;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;North America;2030;NA;53.112;154.91;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Other Pacific Asia;2030;NA;13.293;42.5236;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Pacific OECD;2030;NA;5.304;48.0662;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Rest of Centrally Planned Asia;2030;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;South Asia;2030;NA;4.8864;24.836;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Sub-Saharan Africa;2030;NA;0.888;2.59;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Western Europe;2030;NA;44.6688;143.374;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;World;2025;39.6207;49.49215;83.5611;152.4457;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;China;2025;NA;1.809;7.35;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Eastern Europe;2025;NA;0.0954;0.6762;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Former Soviet Union;2025;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Latin America and the Caribbean;2025;NA;5.724;17.64;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Middle East and North Africa;2025;NA;1.998;13.5226;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;North America;2025;NA;13.716;128.415;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Other Pacific Asia;2025;NA;0;7.602;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Pacific OECD;2025;NA;2.16;12.348;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Rest of Centrally Planned Asia;2025;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;South Asia;2025;NA;0;0.98;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Sub-Saharan Africa;2025;NA;0;0.0014;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Western Europe;2025;NA;0.9108;5.4866;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;World;2030;44.0226;60.0191;152.4663;457.8915;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;China;2030;NA;2.01;12.95;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Eastern Europe;2030;NA;0.1062;13.2846;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Former Soviet Union;2030;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Latin America and the Caribbean;2030;NA;6.36;28.84;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Middle East and North Africa;2030;NA;2.22;32.5626;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;North America;2030;NA;15.24;346.619;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Other Pacific Asia;2030;NA;0;20.9076;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Pacific OECD;2030;NA;2.4;29.3104;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Rest of Centrally Planned Asia;2030;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;South Asia;2030;NA;0;0.98;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Sub-Saharan Africa;2030;NA;0;0.0014;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Western Europe;2030;NA;1.0122;97.3154;NA;NA;NA;NA;NA
