metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source.link.to.discussion
absolute;yes;Capacity|Electricity|Hydro;GW;NA;NA;Sub-Saharan Africa;2030;NA;12.78;85.232;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Hydro;GW;NA;NA;United States of America;2030;NA;48.84;187.67;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;World;2030;269.7507;320.32955;463.58865;507.1;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Canada Australia New Zealand;2030;NA;6.576;19.18;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;China and Taiwan;2030;NA;26.8914;115.2536;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;EU 28;2030;NA;49.08;150.612;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;India;2030;NA;3.3216;17.248;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Japan;2030;NA;5.304;48.0662;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Latin America and the Caribbean;2030;NA;2.4336;9.009;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Middle East and North Africa;2030;NA;2.9952;16.254;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Non-EU28 Europe;2030;NA;1.4256;10.402;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Other Asia;2030;NA;13.9584;47.488;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Russia and Reforming Economies;2030;NA;20.424;67.858;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;Sub-Saharan Africa;2030;NA;0.888;2.59;NA;NA;NA;NA;NA
absolute;yes;Capacity|Electricity|Nuclear;GW;NA;NA;United States of America;2030;NA;46.536;135.73;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;World;2025;39.6207;49.49215;83.5611;152.4457;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Canada Australia New Zealand;2025;NA;4.968;47.124;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;China and Taiwan;2025;NA;1.809;7.35;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;EU 28;2025;NA;0.5454;3.864;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;India;2025;NA;0;0.98;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Japan;2025;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Latin America and the Caribbean;2025;NA;5.724;17.64;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Middle East and North Africa;2025;NA;1.998;13.5226;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Non-EU28 Europe;2025;NA;0.4614;2.2988;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Other Asia;2025;NA;0;7.602;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Russia and Reforming Economies;2025;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Sub-Saharan Africa;2025;NA;0;0.0014;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;United States of America;2025;NA;10.908;93.639;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;World;2030;44.0226;60.01815;152.4663;457.8915;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Canada Australia New Zealand;2030;NA;5.52;89.698;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;China and Taiwan;2030;NA;2.01;12.95;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;EU 28;2030;NA;0.606;88.074;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;India;2030;NA;0;0.98;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Japan;2030;NA;0;2.3884;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Latin America and the Caribbean;2030;NA;6.36;28.84;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Middle East and North Africa;2030;NA;2.22;32.5626;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Non-EU28 Europe;2030;NA;0.5124;22.526;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Other Asia;2030;NA;0;20.9076;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Russia and Reforming Economies;2030;NA;0;0;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;Sub-Saharan Africa;2030;NA;0;0.0014;NA;NA;NA;NA;NA
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;NA;NA;United States of America;2030;NA;12.12;283.843;NA;NA;NA;NA;NA
